name;country;elevatorPitch;industry;;page
Startups Rating;Brazil;StartupsRating padroniza a avaliação de startups com rating auditável, dando ao investidor certeza para alocar capital baseado em dados.;Fintech & financial services;;26
Stream Shop Brasil Tecnologia LTDA;Brazil;O maior e mais completo estúdio de IA para sua marca. Provador Virtual, Beauty Scan, Imagens, Looks, Fotos e Vídeos para site e e-commerce.;E-commerce & retail;;26
StreamFin;Brazil;Operational AI for financial advisory firms. Turns strategy into scalable, personalized client execution.;Fintech & financial services;;26
SUL - Inteligência para impacto;Brazil;Built by SUL, a Global South edtech, Mariah is an AI-powered ecosystem for the 15M+ nano and microentrepreneurs, mostly Black women, who know how to make but not how to sell. Living on WhatsApp, she helps them price, market, and grow—while every connection and transaction inside the network turns into new business.;Education;;27
SUMAQ Comunicação Financeira;Brazil;"""The Complete Ecosystem for Financial Communications, Management & Compliance"" Powered by Tech. Driven by Best Practices & Trusted Results.";Fintech & financial services;;27
SUMAQ Educ;Brazil;Tech-driven training that boosts efficiency and turns data into secure results for Corporate Reporting and Governance, Risk, and Compliance.;Education;;27
SYNAPTA;Brazil;An AI voice app for women STEM leaders to speak English with authority under pressure. They just need a voice. Daily AI. Real data.;Education;;27
TALKNTALK Idiomas;Brazil;TALKNTALK is a language training platform using daily conversation immersion to achieve real fluency in up to 12 months;Education;;27
Tamborine;Brazil;Tamborine é uma processadora de cartões homologada por Mastercard, Amex e UnionPay. Processamos qualquer cartão e emitimos pós-pago.;Fintech & financial services;;27
TapVia;United States;Developer-first API for global cards, pay-ins, payouts, and stablecoin-to-fiat money movement.;Fintech & financial services;;27
TEAlliance;Brazil;Only 25% of neurodivergent students graduate from high school. We hyper-personalize education, generating impact and a sustainable business.;Education;;27
Tec2Flow;Brazil;Smart restaurant management with ERP, self-service kiosks, and financial AI to boost sales and reduce queues.;Fintech & financial services;;27
Thinkr | EdTech Solutions;Brazil;16+ years of expertise & 2M+ students: Thinkr is the ultimate EdTech to scale your business. Ready to transform your online courses?;Education;;28
Thoddy;Brazil;Reinventing cargo insurance with AI, embedded solutions, and seamless claims for global logistics.;Fintech & financial services;;28
TOCA Commerce;Brazil;Agentic AI for e-commerce: turns data into strategy and execution across ads, marketplaces, CRM and SEO.;E-commerce & retail;;28
Tools for the Commons;Brazil;We give modern entrepreneurs access to digital economic zones with lower taxes, global banking, and stronger legal frameworks;Fintech & financial services;;28
;Brazil;Na TransactX, varejo paga fornecedores com valores das vendas no cartão, sem antecipação.;;;
;;;;;
TriSpects Inc;Canada;Disruptive Education Management;Education;;28
TroqPay;Brazil;Sell with Pix and get paid in digital dollars or Brazilian reais — simple payments for SaaS, services, and creators.;Fintech & financial services;;28
Tuesday Markets Ltd;Mauritius;Liquidity for African capital markets;Fintech & financial services;;28
Tutorly;Brazil;Pedagogical, intelligent and costumizable agent that transforms teaching practice into a professional, structured and scalable service.;Education;;28
Ujamaatech;Brazil;We integrate financial education into companies, building financial literacy for customers and employees via courses and WhatsApp chatbots.;Education;;28
Uma Penca;Brazil;Uma Penca is a print on demand platform that allows you to build a branded product store without tech, production, or logistics costs.;E-commerce & retail;;28
Umami;Brazil;Umami is a platform for product data, content, and categorization that improves the phygital journey for retailers and consumers.;E-commerce & retail;;29
UnblockPay;Brazil;Stablecoin provider for cross-border payments in Latam;Fintech & financial services;;29
Upfinder;Netherlands;We match students with companies;Education;;29
;Brazil;Crédito com garantia de recebível para Caminhoneiros e ;;;
;;;;;
ValePay;Brazil;Created exclusively for tourism, ValePay pioneered financial solutions that simplify how the travel industry handles payments.;Fintech & financial services;;29
;Brazil;The monetization infrastructure for AI.;;;
;;;;;
venda.ai;Brazil;Another AI agent. We know. But some trends are worth joining. Venda.ai is Brazil’s first agentic commerce platform. Built to sell, not chat.;E-commerce & retail;;29
Versa Educação;Brazil;Plataforma B2B de educação corporativa para linha de frente.Cursos profissionalizantes para trabalhadores da indústria e varejo. #desmesados;Education;;29
;Brazil;Versus is a B2B company specializing in custom gifts and kits with management technology. ;;;
;;;;;
;;;;;
;;;;;
;;;;;
Vertis Agro Capital;Brazil;A Vertis transforma dados financeiros do agro em decisões estratégicas, atuando como o CFO digital do produtor rural.;Fintech & financial services;;29
Vértuz App;Brazil;Vértuz é uma plataforma de soluções financeiras com app e IA, focada em gestão, formação de consultores e transformação financeira escalável;Fintech & financial services;;29
VestiAI;Brazil;Fashion photoshoots are broken. Our AI replaces stylist, photographer, studio and model. Upload your garment, get photos in minutes, not days.;E-commerce & retail;;29
Vitório;Brazil;Seja o banco B2B de seus clientes. Venda mais. Fidelize mais. Gere muito mais caixa.;Fintech & financial services;;30
Vitrine Cultural;Brazil;We focuse on providing tools and support for company and professionals. One of our hallmark is schedules and payments services. Let's talk.;E-commerce & retail;;30
Vokaz;Brazil;Humantech that maps behavioral, emotional and cognitive profiles with a personalized development path to reveal talents and career trails.;Education;;30
WAID;Brazil;The infrastructure that transforms education into a growth engine.;Education;;30
We Rock It Learning;Brazil;We are the infrastructure that transforms education into productive inclusion, using AI to personalize learning and connect talent to jobs;Education;;30
WEALTH MONEY;Brazil;Plataforma de P2P Lending com +R$200M intermediados. Conectamos investidores a empresas que buscam crédito de forma alternativa.;Fintech & financial services;;30
Webiz;Brazil;AI-powered business community and school helping micro and small businesses upskill, grow, and earn more;Education;;30
Weris App;El Salvador;LATAM's 1st AI super app. 320K+ downloads across 7 verticals. 5 AI engines turning behavioral data into massive user loyalty & scale.;E-commerce & retail;;30
Wizos;Brazil;The retail OS. POS, inventory & sales integrated to organize operations and use AI to turn real-time data into business action today.;E-commerce & retail;;31
Xskill Treinamento Simulado;Brazil;Startup brasileira de simulação empresarial que ajuda a formar líderes e apoia gestores na tomada de decisões estratégicas mais assertivas.;Education;;31
Yolki.pet;Estonia;AI-powered gamified microlearning for pet longevity. Proactive pet care, not reactive Googling at 2am. Built with vets, made for Brazil.;Education;;31
YouShop;Brazil;Payment SaaS with seamless checkout, smart gateway, creator management, and performance marketing to maximize conversions and sales.;Fintech & financial services;;31
Zenloth;Costa Rica;Master your money with a personal finance app driven by behavioral insights and smart advisor automation for effortless, optimized wealth building and control over your spending.;Fintech & financial services;;31
ztgrowth;Brazil;AI infrastructure powering conversational commerce across sales, support and customer lifecycle.;E-commerce & retail;;31
⚡Storm Education;Brazil;Storm translates the English language into WhatsApp lingo, making it accessible to all through a combination of memes, voice notes and A.I.;Education;;31
